library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
IQRD	0.9323220536756126	0.0	0.0	0.06651108518086347	0.0011668611435239206	0.0	Blue	0.9323220536756126	857
IQRE	0.9661654135338346	0.0	0.0	0.0018796992481203006	0.03195488721804511	0.0	Blue	0.9661654135338346	2128
IQRF	0.9945075064079092	0.0	0.0	0.002563163676309044	0.0029293299157817647	0.0	Blue	0.9945075064079092	5462
IQRG	0.9904172489518867	0.0	0.0	0.007785985226592134	0.0017967658215212617	0.0	Blue	0.9904172489518867	5009
IQRH	0.8482601254991443	0.0	0.0	0.14489446662863661	0.0068454078722190535	0.0	Blue	0.8482601254991443	1753
IQRI	0.8950325251330573	0.0	0.0	0.034151389710230635	0.070816085156712	0.0	Blue	0.8950325251330573	6764
IQRJ	0.9414990859232175	0.0	0.0	0.054844606946983544	0.003656307129798903	0.0	Blue	0.9414990859232175	1094
IQRK	0.9806666666666667	0.0	0.0	0.007333333333333333	0.012	0.0	Blue	0.9806666666666667	1500
IQRL	0.7953728984049432	0.0	0.0	0.06567035493605403	0.13895674665900273	0.0	Blue	0.7953728984049432	6959
IQRM	0.9469578783151326	0.0234009360374415	0.0	0.0249609984399376	0.0046801872074883	0.0	Blue	0.9469578783151326	641
IQRN	0.9981359091679376	0.0	0.0	0.0016946280291476022	0.0001694628029147602	0.0	Blue	0.9981359091679376	5901
IQRP	0.8648648648648649	0.0	0.0	0.014308426073131956	0.12082670906200318	0.0	Blue	0.8648648648648649	629
IQRQ	0.8401639344262295	0.0	0.0	0.06693989071038252	0.09289617486338798	0.0	Blue	0.8401639344262295	732
IQRR	0.9819482842738657	0.0	0.0	0.012359733289965848	0.005691982436168482	0.0	Blue	0.9819482842738657	6149
IQRS	0.9406180193596426	0.0	0.0	0.005584512285927029	0.05379746835443038	0.0	Blue	0.9406180193596426	5372
IQRT	0.9990452549169372	0.0	0.0	0.0	0.0009547450830628223	0.0	Blue	0.9990452549169372	5237
IQRU	0.6589403973509934	0.0	0.0	0.12582781456953643	0.2152317880794702	0.0	Blue	0.6589403973509934	2114
IQRW	0.003486750348675035	0.0	0.0	0.022663877266387727	0.9738493723849372	0.0	Orange	0.9738493723849372	2868
